                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8405,                 4.5701,                 1.8872,                0.00026,                0.07669,                0.02441,                0.01016,                 2.7552,                 8.9859,                 1.6813,                0.06773,             0.00016216,             0.00016216
                      1,                 1.6247,                 3.8517,                 1.6658,                0.01444,                0.28997,                0.06176,                 0.0267,                 2.0141,                 7.7496,                 1.3944,               0.034561,             0.00032675,             0.00032675
                      2,                 1.6357,                 3.5993,                 1.6616,                0.85714,                0.04899,                0.08274,                0.03403,                 2.0676,                 8.5728,                 1.4289,              0.0013901,             0.00048922,             0.00048922
                      3,                 1.5784,                 3.3819,                 1.6187,                0.52256,                0.09987,                0.13515,                0.05424,                 1.8767,                 7.3674,                 1.2536,              0.0004905,              0.0004905,              0.0004905
                      4,                 1.4689,                 3.2405,                 1.5183,                0.77606,                0.06165,                0.09978,                0.04775,                 2.0246,                 7.0885,                 1.3745,              0.0004905,              0.0004905,              0.0004905
                      5,                 1.4573,                 3.1811,                 1.5075,                0.60293,                0.08271,                0.08471,                0.03267,                 2.1516,                 11.154,                 1.6542,             0.00048733,             0.00048733,             0.00048733
                      6,                 1.4405,                 3.1928,                 1.5319,                0.72588,                 0.0881,                 0.1109,                0.04264,                 2.0383,                 7.5401,                 1.4512,             0.00048417,             0.00048417,             0.00048417
                      7,                 1.3911,                 3.0896,                  1.482,                0.74226,                0.20313,                 0.2106,                0.07804,                 1.7595,                 6.3894,                 1.2165,               0.000481,               0.000481,               0.000481
                      8,                 1.3311,                 2.9402,                 1.4354,                0.63234,                0.20599,                0.25797,                0.11951,                 1.6529,                 5.6464,                 1.0922,             0.00047783,             0.00047783,             0.00047783
                      9,                 1.3641,                 2.9364,                 1.4492,                0.65245,                0.14378,                0.22867,                  0.105,                 1.7548,                 6.1119,                 1.1769,             0.00047467,             0.00047467,             0.00047467
