                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7845,                 3.7265,                 1.4884,                 0.0875,                0.01683,                0.05253,                0.02652,                 1.8071,                 9.9709,                  1.149,                 0.0676,             0.00032727,             0.00032727
                      2,                 1.7677,                 3.1495,                 1.3844,                0.60223,                0.07051,                0.09434,                0.04145,                 1.8008,                 6.8536,                0.92696,                 0.0346,             0.00066051,             0.00066051
                      3,                 1.6605,                 2.8102,                 1.3517,                0.49971,                0.18563,                0.12258,                  0.054,                 1.7319,                 10.538,                 0.9721,              0.0015994,             0.00099339,             0.00099339
                      4,                  1.646,                 2.7118,                 1.3885,                0.53338,                0.26216,                0.18383,                0.06628,                 1.7285,                 6.1261,                0.96041,             0.00099875,             0.00099875,             0.00099875
                      5,                 1.6199,                  2.691,                  1.394,                0.63547,                0.15383,                0.24677,                0.11762,                 1.6461,                 6.9195,                 0.9299,             0.00099875,             0.00099875,             0.00099875
                      6,                 1.5797,                 2.5365,                 1.3738,                0.54592,                0.26335,                0.29093,                0.13867,                 1.6631,                  5.437,                0.95444,             0.00099778,             0.00099778,             0.00099778
                      7,                 1.5481,                 2.5387,                 1.3695,                0.52357,                0.27618,                0.44253,                0.23471,                 1.5794,                  5.267,                 1.0195,             0.00099654,             0.00099654,             0.00099654
                      8,                  1.532,                  2.478,                 1.3264,                0.62361,                0.30001,                0.46675,                0.22175,                 1.6473,                  5.188,                0.98232,             0.00099502,             0.00099502,             0.00099502
                      9,                 1.5235,                 2.4148,                 1.3212,                 0.5706,                0.39965,                0.60037,                0.26161,                 1.6271,                 5.5147,                0.97871,             0.00099322,             0.00099322,             0.00099322
                     10,                 1.5158,                 2.4127,                 1.3521,                0.46674,                0.53312,                0.46763,                0.26749,                  1.595,                 4.9069,                0.94595,             0.00099115,             0.00099115,             0.00099115
                     11,                  1.453,                 2.3183,                 1.3032,                 0.5952,                0.30593,                0.46984,                0.22623,                 1.4693,                 5.2254,                0.93408,             0.00098881,             0.00098881,             0.00098881
                     12,                 1.4752,                  2.354,                  1.323,                0.47763,                0.32317,                0.41714,                0.19744,                 1.4985,                 5.3395,                0.99694,              0.0009862,              0.0009862,              0.0009862
                     13,                 1.4519,                 2.3121,                 1.3237,                0.66052,                0.39239,                0.65618,                0.27225,                 1.4716,                 4.7416,                0.89408,             0.00098332,             0.00098332,             0.00098332
                     14,                  1.472,                 2.2695,                 1.3155,                0.67556,                0.35411,                0.50947,                0.24907,                 1.4518,                 4.7297,                0.91588,             0.00098017,             0.00098017,             0.00098017
                     15,                 1.4382,                 2.2575,                 1.2965,                0.44915,                0.56549,                0.58167,                0.28534,                 1.4528,                 4.6785,                0.93427,             0.00097675,             0.00097675,             0.00097675
                     16,                   1.41,                 2.2454,                 1.2819,                0.44544,                 0.7079,                0.65458,                 0.3314,                 1.5232,                 4.8863,                0.98057,             0.00097307,             0.00097307,             0.00097307
                     17,                 1.4249,                 2.2898,                 1.3189,                0.36001,                0.63969,                0.47754,                0.24139,                 1.4655,                 4.9601,                 0.9726,             0.00096913,             0.00096913,             0.00096913
                     18,                 1.4104,                  2.257,                 1.3229,                0.56704,                0.52598,                0.63543,                0.31939,                 1.4814,                 5.2587,                  1.025,             0.00096493,             0.00096493,             0.00096493
                     19,                 1.3916,                 2.2418,                 1.3046,                0.56093,                0.57503,                0.64896,                0.33593,                 1.4631,                 4.9992,                0.99192,             0.00096048,             0.00096048,             0.00096048
                     20,                 1.4034,                 2.2319,                 1.3118,                0.42789,                 0.5836,                0.61804,                0.32293,                 1.4091,                 4.9076,                0.94507,             0.00095577,             0.00095577,             0.00095577
                     21,                 1.4082,                 2.2922,                 1.3414,                0.45082,                0.67037,                0.63308,                0.31703,                 1.5714,                 4.9813,                 1.0291,              0.0009508,              0.0009508,              0.0009508
                     22,                 1.3997,                 2.2023,                 1.3111,                0.42177,                0.61863,                0.57001,                0.30053,                 1.4946,                 5.6268,                 1.1109,             0.00094559,             0.00094559,             0.00094559
