                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8454,                 4.5699,                 1.9025,                0.00023,                0.09135,                0.02384,                 0.0123,                 2.6091,                 8.7362,                 1.6825,                0.06773,             0.00016216,             0.00016216
                      1,                  1.627,                 3.8674,                 1.6673,                0.67549,                0.04211,                0.05631,                0.02671,                 2.1896,                 8.0423,                 1.6072,               0.034561,             0.00032675,             0.00032675
                      2,                 1.5771,                 3.5635,                  1.622,                0.56242,                 0.0881,                0.07745,                0.02959,                  2.054,                 13.786,                 1.5349,              0.0013901,             0.00048922,             0.00048922
                      3,                 1.5294,                  3.406,                 1.5956,                0.84566,                   0.05,                0.12625,                0.05487,                 2.0452,                 10.754,                 1.5755,              0.0004905,              0.0004905,              0.0004905
                      4,                 1.4667,                 3.2485,                 1.5281,                 0.8066,                0.11604,                0.17428,                0.08477,                 1.7471,                  6.713,                 1.2114,              0.0004905,              0.0004905,              0.0004905
                      5,                 1.4284,                 3.1631,                 1.4922,                0.69892,                0.11142,                0.18135,                0.06578,                 1.6838,                 6.6967,                   1.14,             0.00048733,             0.00048733,             0.00048733
                      6,                   1.41,                 3.1424,                 1.5153,                0.76474,                0.09003,                0.19586,                0.07972,                 1.7145,                 6.3199,                 1.2031,             0.00048417,             0.00048417,             0.00048417
                      7,                 1.3883,                 3.0934,                 1.4888,                0.68231,                 0.1708,                0.27244,                0.12426,                 1.7477,                 5.9988,                 1.1501,               0.000481,               0.000481,               0.000481
                      8,                  1.321,                 2.9212,                 1.4397,                0.60871,                0.20952,                0.26046,                0.11869,                 1.6863,                 5.9636,                 1.1461,             0.00047783,             0.00047783,             0.00047783
                      9,                 1.3472,                 2.9351,                 1.4555,                0.80574,                0.12011,                0.22456,                0.08979,                 1.9128,                 7.1464,                 1.3729,             0.00047467,             0.00047467,             0.00047467
                     10,                 1.3063,                 2.8672,                 1.4344,                  0.731,                0.22456,                0.38575,                0.15756,                 1.7109,                 6.0857,                 1.1747,              0.0004715,              0.0004715,              0.0004715
                     11,                 1.2904,                 2.8403,                 1.4296,                0.70632,                0.22362,                0.36648,                0.13315,                 1.6927,                 6.3468,                 1.1507,             0.00046833,             0.00046833,             0.00046833
                     12,                 1.2705,                 2.8454,                 1.4179,                0.65962,                0.24797,                0.39121,                0.18061,                 1.6959,                 6.1458,                 1.1821,             0.00046517,             0.00046517,             0.00046517
                     13,                 1.2692,                 2.8165,                 1.4181,                0.56396,                0.42757,                 0.4373,                0.21083,                  1.702,                 5.7453,                 1.1696,               0.000462,               0.000462,               0.000462
                     14,                 1.2245,                 2.6817,                  1.388,                0.77133,                 0.2905,                0.43152,                0.17708,                 1.5958,                 6.3289,                 1.1838,             0.00045883,             0.00045883,             0.00045883
                     15,                 1.2167,                 2.6829,                 1.3696,                0.40672,                0.15614,                0.36481,                0.14803,                 1.7846,                 6.6816,                 1.2822,             0.00045567,             0.00045567,             0.00045567
                     16,                  1.207,                 2.6414,                 1.3815,                0.70164,                0.26537,                 0.5097,                0.23458,                 1.7026,                 5.9381,                 1.1813,              0.0004525,              0.0004525,              0.0004525
                     17,                 1.1869,                 2.5882,                 1.3491,                0.70565,                0.40837,                0.55417,                0.26958,                 1.5785,                 5.7674,                  1.154,             0.00044933,             0.00044933,             0.00044933
                     18,                 1.2092,                 2.6087,                 1.3685,                0.85365,                0.20818,                0.52202,                0.23621,                 1.5984,                 6.0342,                 1.2037,             0.00044617,             0.00044617,             0.00044617
                     19,                 1.1698,                 2.5933,                 1.3502,                0.62283,                0.30852,                0.43298,                0.18552,                  1.711,                 5.7585,                 1.2363,               0.000443,               0.000443,               0.000443
                     20,                 1.1746,                 2.5917,                 1.3607,                0.54297,                 0.3794,                0.57327,                0.24965,                 1.6522,                 6.1006,                 1.2418,             0.00043983,             0.00043983,             0.00043983
                     21,                  1.205,                 2.6865,                  1.398,                0.71776,                0.28333,                0.40565,                0.16461,                  1.597,                 6.1883,                 1.1899,             0.00043667,             0.00043667,             0.00043667
                     22,                 1.1496,                 2.6126,                 1.3663,                0.64201,                0.34083,                0.46098,                0.20895,                 1.6196,                 5.9201,                 1.2247,              0.0004335,              0.0004335,              0.0004335
                     23,                 1.1129,                 2.5364,                 1.3342,                0.68763,                0.33682,                0.44515,                0.20492,                 1.5769,                 6.0815,                 1.1352,             0.00043033,             0.00043033,             0.00043033
                     24,                 1.1203,                 2.5575,                 1.3405,                0.62553,                0.35748,                0.50753,                0.26408,                 1.6162,                 6.1513,                 1.1908,             0.00042717,             0.00042717,             0.00042717
                     25,                 1.1159,                 2.5116,                 1.3485,                0.82835,                0.19054,                 0.3694,                0.13174,                 1.7239,                 6.7859,                  1.261,               0.000424,               0.000424,               0.000424
                     26,                 1.1094,                 2.6062,                 1.3508,                0.61531,                0.35424,                0.56166,                0.22401,                 1.6228,                 6.3375,                  1.263,             0.00042083,             0.00042083,             0.00042083
                     27,                 1.1047,                 2.5802,                 1.3514,                0.57257,                0.41205,                 0.5067,                0.25137,                 1.5578,                   5.67,                  1.188,             0.00041767,             0.00041767,             0.00041767
                     28,                 1.0818,                 2.4998,                 1.3364,                0.59011,                0.46644,                0.60894,                0.25771,                 1.5853,                 6.4192,                 1.2473,              0.0004145,              0.0004145,              0.0004145
                     29,                 1.0792,                 2.5376,                 1.3392,                0.58345,                 0.4252,                0.58804,                0.26854,                 1.5959,                 6.3569,                 1.2365,             0.00041133,             0.00041133,             0.00041133
                     30,                  1.059,                 2.5385,                 1.3197,                0.54984,                0.43211,                0.54713,                0.26509,                  1.602,                  6.146,                 1.2439,             0.00040817,             0.00040817,             0.00040817
                     31,                 1.0503,                 2.4982,                 1.3169,                0.67069,                0.41329,                0.65383,                0.31838,                 1.5279,                 5.6219,                 1.1631,               0.000405,               0.000405,               0.000405
                     32,                 1.0373,                 2.4648,                  1.315,                 0.6396,                0.40952,                0.49254,                0.23439,                 1.6288,                 5.7535,                 1.2145,             0.00040183,             0.00040183,             0.00040183
                     33,                 1.0524,                 2.5065,                 1.3286,                0.73948,                0.33847,                0.47884,                0.20969,                 1.6076,                 6.3952,                 1.2135,             0.00039867,             0.00039867,             0.00039867
                     34,                 1.0448,                 2.5197,                 1.3349,                0.72914,                0.22043,                 0.3316,                0.15129,                 1.6783,                 6.6515,                 1.2449,              0.0003955,              0.0003955,              0.0003955
                     35,                  1.033,                 2.4658,                 1.3115,                0.75124,                0.33606,                0.59097,                0.28248,                 1.6335,                 5.8466,                 1.2248,             0.00039233,             0.00039233,             0.00039233
                     36,                  1.026,                  2.464,                  1.306,                0.59227,                 0.3683,                 0.5058,                0.22523,                 1.6499,                 6.0039,                 1.2101,             0.00038917,             0.00038917,             0.00038917
                     37,                  1.018,                 2.4283,                 1.3004,                0.66743,                0.36743,                 0.5293,                0.23528,                 1.5981,                 6.1303,                 1.1983,               0.000386,               0.000386,               0.000386
                     38,                0.99405,                 2.4394,                 1.2969,                0.68136,                0.36642,                0.59775,                0.27509,                 1.5806,                 5.9666,                 1.2438,             0.00038283,             0.00038283,             0.00038283
                     39,                  1.006,                 2.4553,                 1.2984,                0.56653,                0.38005,                0.56291,                0.28728,                 1.5484,                  5.541,                 1.2355,             0.00037967,             0.00037967,             0.00037967
                     40,                 1.0049,                 2.4485,                 1.2995,                0.77389,                0.37662,                0.58949,                0.29393,                 1.5411,                 5.8552,                 1.2246,              0.0003765,              0.0003765,              0.0003765
                     41,                0.98601,                 2.3783,                 1.2753,                0.72356,                0.42741,                0.60562,                0.28339,                 1.6243,                 6.3858,                 1.2917,             0.00037333,             0.00037333,             0.00037333
                     42,                0.99896,                 2.4105,                 1.2989,                0.66407,                0.43487,                0.57263,                0.23721,                 1.5754,                 6.4361,                 1.2924,             0.00037017,             0.00037017,             0.00037017
                     43,                0.99496,                 2.3774,                 1.2798,                 0.7154,                0.19205,                0.29406,                0.12883,                 1.7115,                  6.964,                 1.2879,               0.000367,               0.000367,               0.000367
                     44,                 1.0054,                 2.3837,                 1.2859,                0.63261,                0.48805,                0.60711,                0.25547,                 1.6163,                  5.828,                 1.2336,             0.00036383,             0.00036383,             0.00036383
                     45,                0.98353,                 2.3875,                 1.2895,                0.60996,                0.46538,                0.62687,                0.27415,                 1.6357,                 5.6579,                 1.2537,             0.00036067,             0.00036067,             0.00036067
                     46,                0.98976,                 2.3652,                 1.2828,                0.60993,                 0.4606,                0.55492,                0.25091,                 1.5698,                 6.2697,                  1.214,              0.0003575,              0.0003575,              0.0003575
                     47,                0.98975,                 2.3786,                 1.2893,                0.63979,                 0.4879,                0.61285,                0.27797,                 1.5385,                 6.4701,                 1.2963,             0.00035433,             0.00035433,             0.00035433
                     48,                0.98284,                  2.352,                 1.2707,                0.64014,                0.48128,                 0.5614,                0.29569,                 1.5775,                 6.0704,                 1.2905,             0.00035117,             0.00035117,             0.00035117
                     49,                0.96979,                 2.2877,                 1.2613,                 0.5382,                0.47897,                 0.6864,                0.32046,                 1.5158,                 5.8044,                 1.2065,               0.000348,               0.000348,               0.000348
                     50,                0.96907,                 2.3005,                  1.259,                0.69918,                0.45729,                0.57126,                0.27358,                 1.5296,                 6.1261,                 1.2116,             0.00034483,             0.00034483,             0.00034483
                     51,                0.96621,                 2.3108,                 1.2577,                 0.6391,                0.29247,                0.37456,                0.17265,                 1.5286,                 6.3108,                 1.1633,             0.00034167,             0.00034167,             0.00034167
                     52,                0.95961,                 2.3098,                 1.2505,                0.63765,                0.50308,                0.65316,                0.29797,                   1.54,                 5.8219,                 1.2221,              0.0003385,              0.0003385,              0.0003385
                     53,                0.97477,                 2.3217,                 1.2633,                0.67556,                0.47473,                0.63165,                0.31566,                 1.4957,                 6.0674,                 1.1852,             0.00033533,             0.00033533,             0.00033533
                     54,                0.95716,                  2.303,                 1.2718,                0.58425,                0.53861,                0.61194,                0.30673,                 1.5933,                 5.8279,                 1.2078,             0.00033217,             0.00033217,             0.00033217
                     55,                0.93593,                 2.2814,                 1.2495,                0.78986,                0.40628,                0.63169,                0.29516,                 1.4842,                 6.0226,                 1.1928,               0.000329,               0.000329,               0.000329
                     56,                0.92739,                 2.2559,                 1.2234,                 0.7709,                0.32112,                0.63143,                0.23988,                 1.5585,                 6.4841,                  1.266,             0.00032583,             0.00032583,             0.00032583
                     57,                0.94882,                 2.2891,                 1.2578,                0.57911,                0.43042,                0.55528,                0.27417,                 1.4972,                 6.6079,                 1.2558,             0.00032267,             0.00032267,             0.00032267
                     58,                0.93436,                 2.2469,                 1.2325,                 0.6306,                0.48681,                 0.5633,                0.28883,                 1.4917,                 6.0086,                 1.2414,              0.0003195,              0.0003195,              0.0003195
                     59,                0.94574,                 2.2866,                  1.249,                0.58925,                 0.5599,                0.71207,                0.36284,                 1.5688,                 6.0259,                  1.256,             0.00031633,             0.00031633,             0.00031633
