                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.789,                 3.9381,                 1.8005,                0.00291,                0.16563,                 0.0435,                0.02387,                 2.1512,                 8.1494,                 1.6081,               0.067122,             0.00016522,             0.00016522
                      1,                 1.6874,                 3.4381,                 1.7275,                0.75881,                  0.075,                0.09293,                0.02723,                 2.0974,                 7.1913,                 1.4642,               0.033953,             0.00032963,             0.00032963
                      2,                 1.6003,                 3.2995,                  1.702,                0.72194,                 0.0542,                 0.0949,                0.03435,                   2.07,                 7.6604,                 1.6724,             0.00078164,             0.00049178,             0.00049178
                      3,                 1.5992,                 3.1333,                  1.672,                0.64096,                 0.1125,                0.16654,                0.06695,                 1.7257,                 6.8364,                 1.2179,             0.00048982,             0.00048982,             0.00048982
                      4,                  1.577,                 3.0315,                  1.659,                0.67287,                 0.0875,                0.05619,                0.02327,                 2.1615,                 7.9009,                 1.5885,             0.00048982,             0.00048982,             0.00048982
                      5,                 1.5085,                 2.9447,                 1.6184,                0.74518,                0.09294,                0.16278,                0.06359,                 1.8896,                 6.6848,                 1.2893,             0.00048643,             0.00048643,             0.00048643
                      6,                 1.4912,                 2.8858,                 1.5979,                0.74859,                  0.125,                0.15666,                0.05862,                 1.7383,                 6.2058,                 1.1948,             0.00048304,             0.00048304,             0.00048304
                      7,                 1.4815,                   2.95,                 1.5628,                0.72093,                  0.175,                  0.208,                0.09299,                 1.6635,                 6.7919,                 1.2322,             0.00047964,             0.00047964,             0.00047964
                      8,                 1.4708,                 2.8464,                 1.5671,                0.76298,                0.10611,                0.22385,                0.09896,                 1.6425,                 6.1292,                 1.1961,             0.00047625,             0.00047625,             0.00047625
                      9,                 1.4393,                 2.7458,                 1.5323,                0.88566,                0.15744,                0.19221,                0.07063,                 1.7454,                 6.2997,                 1.1589,             0.00047286,             0.00047286,             0.00047286
                     10,                 1.4143,                 2.8614,                 1.5275,                0.71552,                0.18306,                0.24211,                0.10421,                 1.5451,                 5.8074,                 1.0886,             0.00046946,             0.00046946,             0.00046946
                     11,                  1.398,                 2.7835,                 1.5062,                0.68993,                 0.1125,                0.31404,                 0.1395,                  1.575,                 6.0024,                 1.1399,             0.00046607,             0.00046607,             0.00046607
                     12,                 1.4061,                 2.8373,                 1.5418,                0.78869,                    0.2,                0.34562,                0.17168,                 1.6613,                  5.995,                 1.1682,             0.00046268,             0.00046268,             0.00046268
                     13,                 1.4102,                 2.7982,                 1.5286,                0.69573,                0.16875,                0.33618,                0.16911,                 1.4972,                 5.4757,                 1.0783,             0.00045929,             0.00045929,             0.00045929
                     14,                 1.3639,                 2.7466,                 1.5103,                0.55318,                0.19343,                0.34372,                0.14359,                 1.6942,                 5.1452,                 1.1325,             0.00045589,             0.00045589,             0.00045589
                     15,                 1.3318,                 2.6501,                 1.4907,                 0.7052,                0.28826,                0.47931,                0.23153,                 1.5649,                 4.9773,                 1.1059,              0.0004525,              0.0004525,              0.0004525
                     16,                  1.346,                 2.6482,                 1.4801,                0.61589,                0.16662,                 0.2541,                  0.136,                 1.6278,                 5.6463,                 1.1469,             0.00044911,             0.00044911,             0.00044911
                     17,                 1.3312,                 2.6493,                 1.4741,                0.58704,                0.21875,                0.30847,                 0.1459,                 1.6815,                 5.7854,                 1.1038,             0.00044571,             0.00044571,             0.00044571
                     18,                 1.3353,                 2.6908,                  1.518,                0.57028,                 0.1375,                0.26035,                0.10296,                  1.707,                 6.2378,                 1.1821,             0.00044232,             0.00044232,             0.00044232
                     19,                  1.312,                 2.6389,                 1.4619,                0.63334,                 0.2375,                0.31895,                  0.126,                 1.5972,                 6.0451,                 1.0865,             0.00043893,             0.00043893,             0.00043893
                     20,                 1.3232,                 2.6771,                 1.5109,                0.65095,                 0.3221,                 0.3714,                0.16784,                  1.484,                 5.2929,                  1.052,             0.00043554,             0.00043554,             0.00043554
                     21,                 1.3037,                 2.6829,                 1.4887,                0.58378,                0.26821,                0.39346,                0.18758,                 1.4647,                 5.0673,                 1.1034,             0.00043214,             0.00043214,             0.00043214
                     22,                 1.2679,                 2.6133,                 1.4595,                0.41344,                0.14392,                0.26228,                0.11607,                  1.518,                 5.9385,                 1.1421,             0.00042875,             0.00042875,             0.00042875
                     23,                 1.3024,                 2.6502,                 1.4811,                0.80786,                  0.225,                0.48207,                0.23102,                 1.4628,                 5.4332,                 1.0648,             0.00042536,             0.00042536,             0.00042536
                     24,                  1.258,                 2.5697,                 1.4503,                0.55851,                0.23438,                0.40221,                 0.1923,                 1.4577,                 5.6448,                 1.0607,             0.00042196,             0.00042196,             0.00042196
                     25,                 1.2532,                 2.5685,                 1.4472,                0.91478,                0.28188,                 0.5556,                0.24502,                 1.6672,                 5.9336,                 1.1248,             0.00041857,             0.00041857,             0.00041857
                     26,                 1.2707,                 2.5402,                 1.4379,                0.80816,                0.21875,                0.36406,                0.17844,                  1.474,                 5.3632,                 1.0786,             0.00041518,             0.00041518,             0.00041518
                     27,                 1.2438,                 2.5834,                 1.4397,                0.80008,                0.30312,                0.37787,                0.16183,                 1.5222,                 5.9154,                 1.1357,             0.00041179,             0.00041179,             0.00041179
                     28,                 1.2544,                 2.5258,                  1.449,                 0.5614,                0.40456,                0.46182,                0.22086,                 1.5685,                 5.3218,                 1.1559,             0.00040839,             0.00040839,             0.00040839
                     29,                 1.2283,                 2.5515,                 1.4183,                0.56827,                0.43888,                0.53709,                0.27239,                 1.4674,                 5.9251,                 1.1873,               0.000405,               0.000405,               0.000405
                     30,                 1.1892,                 2.4443,                 1.4133,                0.63572,                0.53254,                0.58523,                0.31353,                 1.3618,                 5.1134,                 1.0542,             0.00040161,             0.00040161,             0.00040161
                     31,                 1.1816,                 2.4914,                 1.3912,                0.65456,                0.45937,                0.60687,                0.30721,                 1.4396,                 5.1218,                 1.0662,             0.00039821,             0.00039821,             0.00039821
                     32,                 1.2446,                  2.543,                 1.4483,                0.53729,                0.39792,                0.57357,                0.35255,                 1.4555,                 5.3802,                 1.0869,             0.00039482,             0.00039482,             0.00039482
                     33,                  1.217,                 2.5516,                 1.4149,                0.54521,                0.48438,                0.43686,                0.23069,                 1.3698,                 5.5183,                 1.0343,             0.00039143,             0.00039143,             0.00039143
                     34,                 1.2002,                 2.4559,                 1.4108,                0.55401,                0.44917,                0.70725,                0.37449,                 1.4395,                 5.0167,                 1.0483,             0.00038804,             0.00038804,             0.00038804
                     35,                 1.1668,                 2.4861,                 1.4019,                0.72193,                0.37187,                0.46111,                0.23629,                 1.5143,                 5.4147,                 1.1057,             0.00038464,             0.00038464,             0.00038464
                     36,                 1.2134,                 2.3881,                 1.3762,                0.37962,                 0.4923,                0.61895,                0.27732,                 1.4585,                 5.1062,                 1.0801,             0.00038125,             0.00038125,             0.00038125
                     37,                 1.1649,                 2.4296,                 1.3839,                0.45975,                  0.625,                0.59252,                0.30641,                 1.3831,                 5.2652,                 1.0571,             0.00037786,             0.00037786,             0.00037786
                     38,                 1.1314,                 2.4086,                 1.3649,                0.66746,                0.21217,                 0.5652,                0.24894,                 1.6194,                 6.5291,                 1.1699,             0.00037446,             0.00037446,             0.00037446
                     39,                 1.1352,                 2.4654,                 1.3746,                0.48221,                0.51845,                0.52116,                0.22657,                 1.4709,                 5.7954,                 1.1221,             0.00037107,             0.00037107,             0.00037107
                     40,                 1.1805,                 2.4646,                 1.3883,                0.66286,                0.51839,                 0.5767,                0.31965,                 1.4218,                 4.9171,                 1.0595,             0.00036768,             0.00036768,             0.00036768
                     41,                 1.1525,                 2.3864,                 1.3846,                0.60812,                0.48438,                0.58672,                 0.3202,                 1.4526,                 5.3881,                 1.1006,             0.00036429,             0.00036429,             0.00036429
                     42,                 1.1686,                 2.4277,                 1.3858,                0.65201,                0.44361,                0.64526,                0.36636,                 1.4768,                 5.0067,                 1.1088,             0.00036089,             0.00036089,             0.00036089
                     43,                 1.1815,                 2.4552,                 1.3939,                0.65905,                0.62319,                0.71493,                0.35601,                 1.4097,                   5.23,                 1.0785,              0.0003575,              0.0003575,              0.0003575
                     44,                 1.1673,                  2.367,                 1.3779,                0.83788,                  0.375,                 0.7121,                0.42145,                 1.4421,                 4.9367,                 1.0736,             0.00035411,             0.00035411,             0.00035411
                     45,                 1.1321,                 2.3193,                 1.3702,                0.60951,                0.60938,                0.70998,                 0.3192,                 1.3646,                 5.3653,                  1.068,             0.00035071,             0.00035071,             0.00035071
                     46,                 1.0998,                 2.3055,                  1.327,                0.66659,                0.49687,                0.68026,                0.33785,                 1.5411,                  5.218,                 1.1358,             0.00034732,             0.00034732,             0.00034732
                     47,                 1.0975,                 2.3185,                  1.348,                0.71527,                0.48438,                0.58966,                0.30274,                 1.4972,                 5.2355,                 1.1327,             0.00034393,             0.00034393,             0.00034393
                     48,                 1.1083,                 2.2966,                 1.3631,                0.59459,                0.45811,                0.61948,                0.34255,                 1.5524,                 5.4526,                 1.1517,             0.00034054,             0.00034054,             0.00034054
                     49,                 1.1248,                 2.3019,                 1.3516,                0.70386,                  0.375,                0.66623,                0.36858,                  1.422,                  5.325,                 1.0471,             0.00033714,             0.00033714,             0.00033714
                     50,                 1.1102,                 2.3041,                 1.3521,                0.61823,                0.35588,                0.68489,                0.34041,                 1.4387,                 4.9329,                 1.0746,             0.00033375,             0.00033375,             0.00033375
                     51,                 1.0767,                 2.2591,                 1.3117,                0.66832,                0.39027,                0.69456,                0.35604,                 1.4876,                 5.1105,                  1.068,             0.00033036,             0.00033036,             0.00033036
                     52,                 1.1316,                 2.3151,                 1.3565,                0.66652,                0.37187,                0.75239,                0.32876,                 1.5874,                 5.2807,                 1.0917,             0.00032696,             0.00032696,             0.00032696
                     53,                 1.1284,                 2.3479,                 1.3539,                0.66021,                0.47139,                0.70161,                 0.3599,                 1.5663,                 5.4298,                 1.1621,             0.00032357,             0.00032357,             0.00032357
                     54,                 1.0234,                 2.2324,                 1.3251,                 0.7119,                0.39687,                0.55708,                0.26359,                 1.6657,                 5.5108,                 1.1723,             0.00032018,             0.00032018,             0.00032018
                     55,                 1.1017,                 2.2675,                  1.326,                0.64446,                0.49687,                0.73829,                0.36477,                 1.3982,                 5.2107,                  1.027,             0.00031679,             0.00031679,             0.00031679
                     56,                 1.0442,                 2.2164,                 1.3016,                0.55665,                0.49687,                0.62539,                0.30513,                 1.6114,                 5.2293,                 1.1394,             0.00031339,             0.00031339,             0.00031339
                     57,                 1.0535,                 2.2336,                 1.3003,                0.63963,                0.59068,                0.78079,                0.35173,                 1.4787,                 5.1972,                 1.0672,                0.00031,                0.00031,                0.00031
                     58,                 1.0777,                 2.2065,                 1.3238,                0.86188,                0.52381,                0.73366,                0.33376,                 1.6747,                 5.3111,                 1.2014,             0.00030661,             0.00030661,             0.00030661
                     59,                 1.0248,                 2.2294,                  1.299,                0.60127,                  0.775,                0.74448,                0.36805,                 1.6152,                 5.3975,                 1.1236,             0.00030321,             0.00030321,             0.00030321
                     60,                 1.0498,                  2.238,                 1.3158,                0.66968,                 0.5375,                0.75976,                0.41138,                 1.3794,                 4.8925,                0.99844,             0.00029982,             0.00029982,             0.00029982
                     61,                 1.0555,                 2.2139,                 1.3065,                0.58989,                0.57114,                  0.776,                0.39548,                 1.4616,                 4.8085,                 1.0439,             0.00029643,             0.00029643,             0.00029643
                     62,                 1.0159,                 2.1471,                 1.2972,                0.45663,                0.52187,                0.57453,                 0.3359,                 1.5193,                  5.576,                 1.1248,             0.00029304,             0.00029304,             0.00029304
                     63,                 1.0532,                 2.1961,                 1.2947,                0.71436,                 0.5555,                0.76695,                0.40548,                 1.5392,                 5.4359,                 1.1754,             0.00028964,             0.00028964,             0.00028964
                     64,                 1.0459,                 2.2116,                 1.3089,                0.70261,                0.58408,                0.72636,                0.37241,                 1.4822,                 4.9993,                 1.0631,             0.00028625,             0.00028625,             0.00028625
                     65,                 1.0565,                 2.2405,                 1.3255,                0.51022,                 0.6375,                0.66571,                0.35766,                   1.58,                 5.4491,                 1.0995,             0.00028286,             0.00028286,             0.00028286
                     66,                   1.06,                 2.2199,                  1.324,                 0.5979,                0.50012,                0.64691,                0.36073,                  1.437,                 4.8758,                 1.0158,             0.00027946,             0.00027946,             0.00027946
                     67,                 1.0297,                 2.1641,                 1.2851,                0.71367,                0.49961,                0.64151,                0.27442,                 1.6893,                 5.0387,                 1.1541,             0.00027607,             0.00027607,             0.00027607
                     68,                 1.0088,                 2.1785,                  1.288,                0.67799,                0.61022,                 0.6808,                0.35704,                 1.5182,                 4.6738,                 1.0275,             0.00027268,             0.00027268,             0.00027268
                     69,                  1.046,                 2.2105,                 1.3133,                0.77724,                0.66101,                0.83392,                0.42762,                 1.5439,                 5.0347,                 1.1122,             0.00026929,             0.00026929,             0.00026929
                     70,                 1.0272,                 2.1525,                  1.292,                0.70496,                0.61562,                0.75708,                0.33552,                 1.7401,                 5.0609,                 1.2237,             0.00026589,             0.00026589,             0.00026589
                     71,                 1.0093,                 2.1785,                 1.2905,                 0.6886,                0.70333,                0.74776,                0.39789,                 1.4194,                 5.0792,                 1.0539,              0.0002625,              0.0002625,              0.0002625
                     72,                 1.0177,                 2.1538,                 1.3027,                0.69793,                0.69807,                0.75584,                0.37353,                 1.4356,                  5.214,                 1.0672,             0.00025911,             0.00025911,             0.00025911
                     73,                 1.0232,                 2.1846,                 1.2899,                0.81472,                0.58457,                0.69861,                0.35604,                 1.4168,                 5.2233,                 1.0613,             0.00025571,             0.00025571,             0.00025571
                     74,                0.99108,                 2.1091,                 1.2769,                0.73707,                0.70111,                0.74451,                0.41142,                 1.4131,                 5.1344,                 1.0804,             0.00025232,             0.00025232,             0.00025232
                     75,                0.98281,                 2.1223,                 1.2591,                0.59446,                0.82824,                0.80181,                0.43034,                 1.3864,                 4.8333,                 1.0406,             0.00024893,             0.00024893,             0.00024893
                     76,                0.96426,                 2.0833,                 1.2475,                0.78891,                0.57367,                0.84017,                0.39282,                 1.4599,                 5.0348,                 1.0725,             0.00024554,             0.00024554,             0.00024554
                     77,                0.99956,                 2.1672,                 1.2833,                  0.752,                0.45937,                0.71563,                0.33002,                 1.5875,                 5.4272,                 1.1349,             0.00024214,             0.00024214,             0.00024214
                     78,                0.96486,                 2.0961,                 1.2562,                0.73959,                0.52568,                0.79366,                0.38905,                 1.4338,                 5.4331,                 1.1415,             0.00023875,             0.00023875,             0.00023875
                     79,                  0.946,                  2.087,                 1.2359,                0.65481,                0.65003,                0.80559,                0.37335,                 1.5411,                 5.0892,                 1.1366,             0.00023536,             0.00023536,             0.00023536
                     80,                0.99747,                 2.1253,                 1.2795,                0.73145,                0.68974,                0.83221,                 0.4125,                 1.4495,                 4.9456,                 1.0724,             0.00023196,             0.00023196,             0.00023196
                     81,                 1.0041,                 2.1528,                 1.2933,                0.80305,                0.57115,                0.78732,                0.42102,                  1.304,                 4.9776,                0.97917,             0.00022857,             0.00022857,             0.00022857
                     82,                0.99423,                 2.1462,                 1.2943,                0.67944,                 0.7875,                0.80146,                0.38615,                 1.4963,                 6.1368,                 1.2173,             0.00022518,             0.00022518,             0.00022518
                     83,                0.98147,                 2.1389,                 1.2664,                0.66213,                0.76548,                0.83872,                0.40256,                 1.5312,                 5.5255,                 1.1921,             0.00022179,             0.00022179,             0.00022179
                     84,                0.94181,                 2.1014,                 1.2545,                0.63263,                0.72825,                0.77079,                0.36251,                 1.5755,                 5.5501,                  1.186,             0.00021839,             0.00021839,             0.00021839
                     85,                0.95314,                 2.1043,                 1.2387,                0.68231,                0.76944,                0.81103,                0.44343,                 1.4254,                 5.1813,                  1.075,               0.000215,               0.000215,               0.000215
                     86,                0.94516,                 2.0499,                 1.2515,                0.65925,                0.60833,                0.78084,                0.40689,                 1.4623,                 5.3521,                 1.0834,             0.00021161,             0.00021161,             0.00021161
                     87,                0.93599,                 2.0503,                 1.2477,                 0.6118,                 0.6258,                0.73656,                0.37178,                 1.4047,                 4.8271,                 1.0584,             0.00020821,             0.00020821,             0.00020821
                     88,                0.92506,                 2.0334,                 1.2532,                0.61659,                0.70788,                0.71116,                0.38461,                 1.4122,                 5.2577,                 1.0992,             0.00020482,             0.00020482,             0.00020482
                     89,                 0.9189,                 2.0954,                 1.2373,                0.68342,                0.66562,                0.80221,                0.43671,                 1.2982,                 4.9686,                 1.0234,             0.00020143,             0.00020143,             0.00020143
                     90,                   0.95,                 2.1077,                 1.2594,                0.70551,                0.64417,                0.74216,                0.39262,                 1.4787,                  5.661,                 1.1375,             0.00019804,             0.00019804,             0.00019804
                     91,                0.94269,                 2.0419,                 1.2317,                0.77396,                0.56559,                0.70701,                0.35964,                 1.3693,                 5.3814,                  1.089,             0.00019464,             0.00019464,             0.00019464
                     92,                 0.9435,                 2.0909,                 1.2388,                0.63292,                0.74431,                0.73075,                0.35333,                 1.3585,                 4.9779,                 1.0513,             0.00019125,             0.00019125,             0.00019125
                     93,                0.91563,                 2.1206,                 1.2348,                0.68918,                  0.725,                0.69855,                0.37391,                 1.3448,                 4.7882,                 1.0402,             0.00018786,             0.00018786,             0.00018786
                     94,                0.93305,                 2.0592,                 1.2417,                0.69722,                0.65726,                0.73489,                0.38879,                 1.4718,                 5.0339,                 1.1332,             0.00018446,             0.00018446,             0.00018446
                     95,                 0.9288,                  2.103,                 1.2537,                0.56348,                0.64363,                0.74561,                0.34057,                 1.3225,                  5.515,                 1.0676,             0.00018107,             0.00018107,             0.00018107
                     96,                0.88216,                 2.0095,                 1.2046,                0.73357,                0.62054,                0.79733,                0.39691,                 1.3667,                 5.3195,                 1.0792,             0.00017768,             0.00017768,             0.00017768
                     97,                0.88618,                 2.0533,                 1.2431,                0.72227,                 0.7201,                0.83852,                0.41173,                 1.3407,                 5.0904,                 1.0182,             0.00017429,             0.00017429,             0.00017429
