                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7437,                 3.9048,                 1.6767,                0.05556,                0.00962,                0.03412,                0.02114,                 1.8524,                 9.7595,                 1.2897,                 0.0676,             0.00032727,             0.00032727
                      2,                 1.6755,                 3.3475,                 1.5448,                0.53089,                0.16026,                0.05673,                0.02488,                 1.6883,                 8.2926,                  1.108,                 0.0346,             0.00066051,             0.00066051
                      3,                 1.6855,                 3.0519,                 1.4195,                0.71177,                0.08185,                0.14136,                0.05301,                  1.723,                 24.509,                 1.1814,              0.0015994,             0.00099339,             0.00099339
                      4,                 1.6315,                 2.8941,                 1.4345,                0.51327,                0.16774,                0.13518,                0.05843,                 1.7645,                 7.9783,                0.88762,             0.00099875,             0.00099875,             0.00099875
                      5,                 1.6222,                  2.843,                  1.419,                 0.5341,                0.32055,                 0.3427,                0.15576,                 1.7519,                 6.7568,                 1.0672,             0.00099875,             0.00099875,             0.00099875
                      6,                 1.5532,                 2.6597,                 1.3938,                0.52249,                0.29594,                0.26368,                0.10395,                 1.4895,                  5.869,                 1.0092,             0.00099778,             0.00099778,             0.00099778
                      7,                 1.5168,                 2.5786,                 1.4043,                0.59129,                0.23658,                0.39354,                0.18848,                 1.4607,                 5.6844,                 1.0138,             0.00099654,             0.00099654,             0.00099654
                      8,                  1.497,                 2.5352,                 1.3989,                0.58908,                0.23037,                0.37836,                0.17614,                 1.6059,                 5.6147,                 1.0288,             0.00099502,             0.00099502,             0.00099502
                      9,                 1.5117,                 2.4849,                 1.3702,                0.72473,                0.23023,                0.22005,                0.09189,                 1.5691,                 5.3489,                 1.0279,             0.00099322,             0.00099322,             0.00099322
                     10,                 1.4731,                 2.4228,                 1.3693,                0.65863,                 0.2402,                0.47751,                0.18688,                 1.5418,                 5.2804,                 1.0531,             0.00099115,             0.00099115,             0.00099115
                     11,                 1.4607,                 2.4012,                 1.3672,                0.64838,                 0.2703,                0.40973,                 0.1909,                 1.4821,                 5.2086,                 1.0213,             0.00098881,             0.00098881,             0.00098881
                     12,                 1.4435,                 2.4429,                 1.3498,                0.72888,                  0.197,                0.43719,                0.20549,                 1.5753,                  5.133,                 1.1002,              0.0009862,              0.0009862,              0.0009862
                     13,                  1.447,                 2.3552,                 1.3554,                0.64657,                0.32906,                0.64844,                0.32115,                 1.4638,                 4.9968,                 0.9679,             0.00098332,             0.00098332,             0.00098332
                     14,                  1.482,                 2.3069,                 1.3482,                0.60299,                0.27046,                0.31244,                0.14226,                 1.5799,                 4.9627,                0.96205,             0.00098017,             0.00098017,             0.00098017
                     15,                  1.454,                 2.3017,                 1.3382,                0.70469,                0.31896,                0.51249,                0.25115,                 1.5299,                 4.7089,                0.98171,             0.00097675,             0.00097675,             0.00097675
                     16,                 1.4129,                 2.2568,                 1.3176,                0.65048,                0.31544,                0.53909,                0.25286,                 1.4581,                 4.9904,                0.92255,             0.00097307,             0.00097307,             0.00097307
                     17,                 1.4136,                 2.2845,                  1.339,                0.57999,                0.42895,                0.55886,                0.27861,                 1.4434,                 4.7028,                0.96994,             0.00096913,             0.00096913,             0.00096913
                     18,                 1.4256,                  2.247,                 1.3392,                0.52837,                 0.4814,                0.66261,                0.34322,                 1.4151,                 4.6161,                0.98562,             0.00096493,             0.00096493,             0.00096493
                     19,                 1.4022,                 2.1902,                 1.2946,                0.60073,                0.36433,                0.52826,                0.24349,                 1.4932,                 5.0418,                0.99914,             0.00096048,             0.00096048,             0.00096048
                     20,                 1.4274,                  2.198,                  1.305,                0.60997,                0.64078,                0.60331,                0.27242,                 1.4652,                 4.8832,                0.99833,             0.00095577,             0.00095577,             0.00095577
                     21,                 1.4282,                 2.2484,                 1.3478,                0.55342,                 0.4312,                0.53374,                0.26806,                 1.4299,                 5.0707,                 1.0113,              0.0009508,              0.0009508,              0.0009508
                     22,                 1.4622,                 2.2048,                 1.3428,                0.58296,                 0.4821,                0.54633,                0.29557,                 1.5223,                  5.178,                 1.0444,             0.00094559,             0.00094559,             0.00094559
                     23,                 1.3799,                 2.1557,                  1.317,                0.48703,                0.65059,                0.70989,                0.37117,                 1.5123,                 4.4881,                0.99251,             0.00094013,             0.00094013,             0.00094013
                     24,                  1.375,                 2.1716,                  1.292,                0.46631,                0.67919,                0.70916,                0.40162,                 1.4677,                 4.5527,                0.93346,             0.00093444,             0.00093444,             0.00093444
                     25,                 1.3562,                 2.0825,                 1.2745,                0.49084,                0.70568,                0.62085,                 0.3074,                 1.4974,                 4.7665,                0.95454,              0.0009285,              0.0009285,              0.0009285
                     26,                 1.3639,                 2.0815,                 1.2806,                0.64957,                0.58458,                0.72466,                0.37277,                  1.395,                 5.2135,                 1.0478,             0.00092232,             0.00092232,             0.00092232
                     27,                 1.3688,                 2.1028,                 1.2942,                0.64376,                0.50383,                0.63001,                0.33469,                 1.4651,                 5.1586,                  1.062,             0.00091592,             0.00091592,             0.00091592
                     28,                 1.3643,                 2.1161,                 1.2935,                0.53117,                0.76122,                0.70874,                 0.3927,                 1.5161,                 4.7727,                  0.992,             0.00090928,             0.00090928,             0.00090928
                     29,                 1.3502,                 2.1027,                  1.287,                0.58897,                0.60444,                0.67335,                  0.329,                 1.4674,                  4.774,                0.96183,             0.00090242,             0.00090242,             0.00090242
