                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8271,                 4.7012,                 1.9007,                0.00022,                0.09511,                0.01344,                0.00656,                 2.2751,                 9.0348,                 1.6081,                0.06773,             0.00016216,             0.00016216
                      1,                 1.6251,                 4.1346,                 1.6558,                0.29604,                0.13108,                 0.0646,                0.03194,                 1.8988,                  7.877,                 1.3021,               0.034561,             0.00032675,             0.00032675
                      2,                 1.5389,                 3.8181,                 1.6065,                0.62765,                0.11642,                0.07965,                0.03401,                 1.8109,                 8.1412,                 1.2773,              0.0013901,             0.00048922,             0.00048922
                      3,                 1.4906,                 3.6377,                 1.5492,                0.72365,                0.09799,                0.09345,                0.03694,                 1.6934,                 7.1223,                 1.1242,              0.0004905,              0.0004905,              0.0004905
                      4,                 1.3756,                 3.4709,                 1.4545,                0.87052,                0.05982,                0.11049,                0.05274,                 1.5796,                 7.1812,                 1.0888,              0.0004905,              0.0004905,              0.0004905
                      5,                  1.369,                  3.427,                  1.446,                0.37995,                0.32882,                 0.1549,                0.06064,                 1.6562,                 7.1326,                 1.1823,             0.00048733,             0.00048733,             0.00048733
                      6,                 1.3622,                 3.3771,                 1.4555,                0.58502,                0.09995,                0.22455,                0.11353,                 1.5645,                 6.8619,                 1.0761,             0.00048417,             0.00048417,             0.00048417
                      7,                 1.3321,                  3.315,                 1.4259,                0.76287,                0.09472,                0.22383,                0.09914,                  1.629,                  6.612,                 1.1017,               0.000481,               0.000481,               0.000481
                      8,                 1.2676,                 3.1532,                 1.3721,                0.49076,                0.15414,                0.23078,                0.10681,                 1.5275,                 6.3182,                 1.0537,             0.00047783,             0.00047783,             0.00047783
                      9,                 1.3018,                 3.1516,                 1.3917,                0.72407,                0.09596,                0.19138,                 0.1004,                 1.6015,                 6.4457,                 1.0848,             0.00047467,             0.00047467,             0.00047467
                     10,                 1.2527,                 3.0671,                 1.3625,                0.68714,                    0.1,                0.23707,                0.11941,                 1.5699,                  6.316,                   1.06,              0.0004715,              0.0004715,              0.0004715
                     11,                 1.2424,                 2.9783,                 1.3577,                0.68898,                0.13647,                0.29994,                0.13276,                 1.6107,                 6.0831,                 1.0744,             0.00046833,             0.00046833,             0.00046833
                     12,                  1.197,                 2.9277,                 1.3177,                0.64401,                0.20654,                0.29078,                0.14052,                 1.5924,                 6.1673,                 1.0754,             0.00046517,             0.00046517,             0.00046517
                     13,                 1.2171,                 2.9714,                 1.3312,                0.53475,                0.23293,                0.39359,                0.19686,                 1.5984,                 6.1006,                 1.0856,               0.000462,               0.000462,               0.000462
                     14,                 1.1553,                   2.78,                 1.2911,                0.63353,                0.26441,                0.44396,                0.23304,                 1.5629,                 6.0286,                 1.0735,             0.00045883,             0.00045883,             0.00045883
                     15,                  1.156,                 2.7851,                 1.2881,                0.60457,                0.18033,                0.47627,                0.22178,                 1.6451,                 6.4817,                 1.1656,             0.00045567,             0.00045567,             0.00045567
                     16,                 1.1455,                 2.7649,                  1.301,                 0.6532,                0.18226,                0.46425,                0.24142,                 1.6924,                 6.2439,                 1.1583,              0.0004525,              0.0004525,              0.0004525
                     17,                 1.1412,                 2.6847,                 1.2784,                0.65693,                0.23324,                 0.4107,                0.20596,                 1.5926,                 5.8834,                 1.0955,             0.00044933,             0.00044933,             0.00044933
                     18,                  1.142,                 2.6935,                 1.2761,                0.71075,                0.28224,                0.52274,                0.25012,                 1.5751,                 5.9382,                 1.0877,             0.00044617,             0.00044617,             0.00044617
                     19,                 1.1016,                 2.6676,                 1.2669,                0.72413,                0.32773,                0.47853,                 0.2666,                 1.5878,                 5.7196,                 1.0922,               0.000443,               0.000443,               0.000443
                     20,                 1.1052,                 2.6098,                 1.2683,                0.65134,                0.34066,                0.44242,                0.22571,                 1.6001,                 5.9926,                 1.1202,             0.00043983,             0.00043983,             0.00043983
                     21,                 1.1312,                 2.6732,                 1.2921,                0.63455,                0.35985,                0.53343,                0.25616,                 1.6165,                 6.0125,                 1.1445,             0.00043667,             0.00043667,             0.00043667
                     22,                 1.0963,                 2.6151,                  1.261,                0.57062,                0.44837,                0.58558,                 0.2848,                 1.6499,                 5.7248,                 1.1363,              0.0004335,              0.0004335,              0.0004335
                     23,                 1.0733,                 2.5146,                 1.2409,                0.55926,                0.39975,                0.52657,                0.25364,                 1.6565,                 5.5965,                 1.1157,             0.00043033,             0.00043033,             0.00043033
                     24,                 1.0959,                 2.5391,                 1.2547,                0.53735,                0.50255,                0.50175,                0.26116,                  1.568,                 5.5488,                 1.1006,             0.00042717,             0.00042717,             0.00042717
                     25,                 1.0527,                 2.4691,                 1.2372,                0.58893,                0.39452,                0.57995,                0.28993,                 1.5668,                 5.3569,                 1.0478,               0.000424,               0.000424,               0.000424
                     26,                 1.0404,                 2.4948,                 1.2279,                0.70434,                0.37412,                0.57584,                0.29593,                 1.5697,                 5.4775,                 1.0559,             0.00042083,             0.00042083,             0.00042083
                     27,                 1.0444,                  2.456,                 1.2295,                0.59264,                0.44263,                0.55688,                0.26947,                 1.6293,                 5.6668,                 1.1264,             0.00041767,             0.00041767,             0.00041767
                     28,                  1.029,                 2.4019,                 1.2246,                0.62756,                0.38174,                0.56676,                 0.2398,                 1.7067,                 5.7876,                  1.163,              0.0004145,              0.0004145,              0.0004145
                     29,                  1.028,                 2.4146,                 1.2231,                 0.5377,                0.42922,                 0.6064,                0.30045,                 1.6342,                 5.6385,                 1.1497,             0.00041133,             0.00041133,             0.00041133
                     30,                 1.0197,                 2.3617,                 1.2203,                0.60937,                0.41499,                0.57341,                0.28974,                 1.5667,                 5.5645,                 1.0754,             0.00040817,             0.00040817,             0.00040817
