                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7496,                 4.2682,                 1.7585,                0.00092,                 0.2875,                0.02805,                0.01448,                 2.1167,                 9.1216,                 1.5656,               0.067405,             0.00016379,             0.00016379
                      1,                 1.5785,                 3.5154,                 1.5986,                 0.5613,                0.06034,                0.06184,                0.03113,                  1.652,                 7.5273,                 1.1642,               0.034238,             0.00033042,             0.00033042
                      2,                 1.5372,                 3.3396,                 1.5772,                0.43204,                0.04861,                0.09707,                0.02673,                 1.5743,                 7.5506,                 1.1783,              0.0010716,             0.00049689,             0.00049689
                      3,                 1.4416,                 3.1771,                 1.5178,                0.64092,                0.09969,                0.13667,                 0.0582,                  1.938,                 7.2034,                 1.3801,             0.00049946,             0.00049946,             0.00049946
                      4,                 1.3863,                  3.051,                 1.4794,                0.37045,                0.12812,                0.16602,                0.05538,                  1.641,                 6.7987,                 1.1337,             0.00049946,             0.00049946,             0.00049946
                      5,                 1.3837,                 2.9623,                 1.4701,                0.56363,                 0.1375,                 0.1754,                0.07531,                  1.563,                 6.3783,                 1.0592,             0.00049904,             0.00049904,             0.00049904
                      6,                 1.3157,                 2.8335,                  1.441,                0.68582,                0.16157,                0.17557,                0.08151,                 1.4656,                 6.1632,                 1.0286,             0.00049851,             0.00049851,             0.00049851
                      7,                 1.3425,                 2.8227,                 1.4479,                0.13573,                0.73125,                0.28503,                0.15484,                 1.5172,                 6.1172,                 1.0931,             0.00049785,             0.00049785,             0.00049785
                      8,                 1.3164,                 2.8015,                 1.4397,                0.70736,                0.27407,                0.30662,                0.11856,                 1.5904,                 5.7519,                  1.104,             0.00049708,             0.00049708,             0.00049708
                      9,                 1.2802,                 2.7376,                 1.4115,                0.72331,                  0.125,                0.15001,                 0.0874,                 1.7164,                 7.0887,                 1.2863,             0.00049618,             0.00049618,             0.00049618
                     10,                  1.254,                 2.6988,                 1.4102,                0.59957,                0.19203,                0.25188,                0.12747,                 1.4465,                 5.9973,                 1.0685,             0.00049517,             0.00049517,             0.00049517
                     11,                  1.209,                 2.6542,                 1.3811,                0.75065,                0.23125,                  0.319,                0.12722,                 1.5596,                 5.6612,                 1.1164,             0.00049405,             0.00049405,             0.00049405
                     12,                 1.2075,                 2.5697,                 1.3773,                0.90884,                0.16377,                0.32898,                0.14953,                 1.5408,                 6.0101,                 1.1559,              0.0004928,              0.0004928,              0.0004928
                     13,                 1.1723,                 2.5382,                 1.3516,                0.62019,                    0.2,                0.41864,                0.18867,                 1.4875,                 5.5982,                 1.0573,             0.00049144,             0.00049144,             0.00049144
                     14,                 1.1876,                 2.4781,                 1.3312,                0.88348,                  0.175,                0.34291,                0.13692,                 1.5306,                 5.7416,                 1.0694,             0.00048997,             0.00048997,             0.00048997
                     15,                 1.1408,                 2.4664,                  1.325,                0.62694,                  0.325,                0.45849,                0.21069,                  1.552,                 5.0561,                 1.0969,             0.00048838,             0.00048838,             0.00048838
                     16,                 1.1479,                 2.4232,                 1.3188,                0.74703,                 0.2625,                 0.5038,                0.19569,                 1.5226,                 5.5865,                 1.0871,             0.00048667,             0.00048667,             0.00048667
                     17,                 1.1475,                 2.4001,                 1.3254,                0.46935,                0.47143,                0.49557,                0.26548,                  1.391,                 5.7945,                  1.055,             0.00048486,             0.00048486,             0.00048486
                     18,                 1.1664,                 2.4424,                 1.3361,                0.55383,                0.46875,                0.51106,                 0.2413,                 1.4466,                 5.4801,                 1.0433,             0.00048293,             0.00048293,             0.00048293
                     19,                 1.1045,                 2.3847,                 1.3175,                0.63046,                0.41704,                0.50404,                0.24958,                 1.5056,                 5.4888,                 1.0796,             0.00048089,             0.00048089,             0.00048089
                     20,                 1.1224,                  2.345,                 1.3149,                0.35118,                0.34062,                0.55002,                0.29884,                 1.4159,                 5.9167,                 1.0869,             0.00047874,             0.00047874,             0.00047874
                     21,                 1.1357,                  2.315,                 1.2987,                0.79712,                0.34375,                0.59769,                0.27467,                 1.4471,                   5.81,                 1.0942,             0.00047648,             0.00047648,             0.00047648
                     22,                 1.1082,                 2.3024,                  1.294,                0.48505,                0.68437,                0.59473,                0.27434,                  1.501,                 5.1687,                 1.0599,             0.00047411,             0.00047411,             0.00047411
                     23,                 1.0942,                 2.2929,                 1.3078,                 0.4201,                0.36402,                0.52592,                0.23575,                 1.5185,                 5.2098,                 1.0711,             0.00047164,             0.00047164,             0.00047164
                     24,                 1.0835,                 2.2178,                 1.2705,                0.44375,                0.60938,                0.63298,                0.35365,                 1.4082,                 5.3761,                 1.0467,             0.00046906,             0.00046906,             0.00046906
                     25,                 1.0652,                  2.262,                 1.2882,                0.48642,                 0.6034,                0.70388,                0.41652,                 1.3477,                 5.3714,                 1.0022,             0.00046638,             0.00046638,             0.00046638
