                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.783,                 4.3338,                 1.8142,                0.00019,                 0.2375,                0.00112,                 0.0003,                 3.2097,                 9.6836,                 2.1575,                0.07214,                0.00014,                0.00014
                      1,                 1.5823,                 3.4253,                 1.6376,                0.00079,                 0.0125,                0.00051,                0.00029,                 2.7523,                 9.2585,                 1.8527,               0.043283,             0.00028307,             0.00028307
                      2,                 1.5291,                  3.261,                 1.6373,                0.68724,                  0.075,                0.08351,                0.04687,                 1.7799,                 7.6176,                 1.2206,               0.014424,             0.00042416,             0.00042416
                      3,                 1.5202,                 3.0999,                 1.6006,                0.78172,                 0.0375,                0.03457,                0.01227,                 2.2699,                 8.7461,                 1.7585,             0.00048982,             0.00048982,             0.00048982
                      4,                 1.4815,                 2.9787,                 1.5766,                 0.6046,                 0.0625,                0.08794,                0.03658,                 1.8729,                 7.1949,                 1.2362,             0.00048982,             0.00048982,             0.00048982
                      5,                 1.4945,                 2.9236,                 1.5642,                 0.4338,                 0.0875,                0.08571,                0.03144,                 1.8854,                  7.164,                 1.4158,             0.00048643,             0.00048643,             0.00048643
                      6,                  1.483,                 2.9602,                 1.6045,                0.81418,                    0.1,                0.13862,                0.05563,                 1.8354,                 6.1814,                 1.3017,             0.00048304,             0.00048304,             0.00048304
                      7,                 1.4444,                 2.8381,                 1.5351,                0.73086,                 0.0875,                0.16337,                0.08162,                 1.7693,                 6.7134,                 1.2051,             0.00047964,             0.00047964,             0.00047964
                      8,                 1.3984,                 2.7724,                 1.5133,                0.67064,                0.08985,                0.28642,                0.13993,                 1.5405,                 6.9092,                 1.2158,             0.00047625,             0.00047625,             0.00047625
                      9,                 1.3896,                 2.7175,                 1.5104,                0.80951,                 0.0875,                0.31159,                 0.1352,                 1.6197,                 7.7883,                 1.3789,             0.00047286,             0.00047286,             0.00047286
                     10,                 1.3483,                 2.7399,                 1.5045,                0.94432,                    0.1,                0.18526,                0.06042,                 1.9411,                 6.1927,                 1.2647,             0.00046946,             0.00046946,             0.00046946
                     11,                 1.3683,                 2.6705,                 1.5125,                0.57018,                 0.1125,                0.18446,                0.09056,                 1.4727,                 6.7022,                 1.1446,             0.00046607,             0.00046607,             0.00046607
                     12,                 1.3318,                 2.6202,                 1.4742,                0.97856,                 0.0625,                0.18262,                 0.0942,                  1.557,                 6.9689,                 1.2868,             0.00046268,             0.00046268,             0.00046268
                     13,                 1.3577,                 2.6459,                 1.4795,                0.75971,                 0.1375,                0.25869,                0.10671,                 1.7568,                 7.3474,                 1.3944,             0.00045929,             0.00045929,             0.00045929
                     14,                 1.3247,                 2.5724,                 1.4835,                 0.7392,                  0.075,                0.10136,                0.04181,                 1.9528,                    8.4,                 1.5274,             0.00045589,             0.00045589,             0.00045589
                     15,                 1.3244,                 2.5968,                 1.4727,                0.92916,                 0.1125,                0.14116,                0.05803,                 1.7192,                 6.4935,                 1.2513,              0.0004525,              0.0004525,              0.0004525
                     16,                 1.2953,                  2.493,                 1.4387,                0.96104,                0.10409,                 0.2144,                0.06931,                 1.8015,                 8.2198,                 1.4666,             0.00044911,             0.00044911,             0.00044911
                     17,                 1.2607,                 2.4598,                   1.42,                0.43098,                0.40625,                0.50532,                0.19485,                 1.5278,                 5.9466,                 1.1758,             0.00044571,             0.00044571,             0.00044571
                     18,                 1.2516,                 2.4928,                 1.4413,                0.31492,                0.37804,                0.35533,                0.13791,                 1.5971,                 5.6893,                 1.1443,             0.00044232,             0.00044232,             0.00044232
                     19,                 1.2209,                 2.4569,                 1.4071,                0.57053,                0.40103,                0.53828,                0.24102,                 1.6286,                 5.5987,                 1.1968,             0.00043893,             0.00043893,             0.00043893
                     20,                 1.2192,                  2.445,                 1.4203,                0.58525,                0.30312,                 0.4104,                  0.224,                 1.5337,                 5.7689,                 1.1503,             0.00043554,             0.00043554,             0.00043554
                     21,                 1.2187,                  2.387,                 1.4007,                0.55558,                0.47813,                0.34974,                0.14388,                  1.627,                 5.9318,                 1.1456,             0.00043214,             0.00043214,             0.00043214
                     22,                 1.2399,                 2.4428,                 1.3981,                0.92653,                 0.1625,                0.30941,                0.12762,                 1.6382,                 6.4493,                 1.1979,             0.00042875,             0.00042875,             0.00042875
                     23,                 1.2258,                 2.4299,                 1.3982,                0.66371,                0.25667,                0.31259,                0.13192,                 1.6923,                 6.1818,                 1.2139,             0.00042536,             0.00042536,             0.00042536
                     24,                 1.2168,                 2.3922,                  1.403,                0.59927,                0.37187,                0.54688,                 0.2051,                 1.4898,                 5.3603,                 1.0951,             0.00042196,             0.00042196,             0.00042196
