                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7645,                 3.7125,                 1.7315,                0.00026,                 0.2125,                0.00156,                 0.0003,                 2.8678,                 9.3284,                  1.973,                0.06773,             0.00016216,             0.00016216
                      1,                 1.6563,                 3.1871,                 1.6386,                0.03846,                   0.05,                0.04104,                0.00923,                 2.4014,                 9.2811,                 1.5857,               0.034563,             0.00032881,             0.00032881
                      2,                 1.5563,                 3.3165,                 1.6549,                0.72585,                 0.0375,                0.04583,                0.02372,                   2.41,                 21.977,                 1.8585,              0.0013963,             0.00049538,             0.00049538
                      3,                 1.5371,                 3.1856,                 1.6208,                0.66542,                 0.0875,                0.05921,                0.02144,                 2.1815,                 7.9882,                 1.5209,             0.00049974,             0.00049974,             0.00049974
                      4,                 1.5042,                 3.0738,                 1.6095,                0.93406,                    0.1,                0.09666,                0.03993,                 1.7695,                 7.2138,                  1.247,             0.00049974,             0.00049974,             0.00049974
                      5,                 1.4928,                 2.9549,                 1.5792,                0.73404,                0.09865,                0.06291,                0.02254,                 2.0994,                 7.7223,                 1.6521,             0.00049953,             0.00049953,             0.00049953
                      6,                 1.4424,                 2.9089,                 1.5579,                0.83758,                    0.1,                0.07497,                0.02659,                 1.8682,                 8.1945,                 1.4596,             0.00049927,             0.00049927,             0.00049927
                      7,                 1.4313,                 2.8539,                 1.5582,                0.81574,                0.09722,                0.14296,                0.05512,                  1.583,                 5.8876,                 1.1411,             0.00049895,             0.00049895,             0.00049895
                      8,                 1.4247,                 2.7662,                 1.5283,                0.57843,                0.10472,                0.17285,                0.08711,                 1.6312,                   6.28,                 1.2247,             0.00049857,             0.00049857,             0.00049857
                      9,                 1.3803,                 2.7384,                 1.5112,                0.98033,                0.06741,                0.09821,                0.04226,                 1.8577,                 7.4891,                 1.4465,             0.00049813,             0.00049813,             0.00049813
                     10,                 1.3693,                 2.7426,                 1.5088,                0.90578,                0.12587,                 0.1593,                0.06737,                 1.6555,                  6.513,                 1.2271,             0.00049763,             0.00049763,             0.00049763
                     11,                 1.3561,                 2.6889,                 1.4803,                0.57324,                 0.0875,                0.19406,                0.08007,                 1.7008,                 6.3632,                 1.1556,             0.00049708,             0.00049708,             0.00049708
                     12,                 1.3502,                 2.6911,                 1.4853,                0.78437,                 0.0875,                0.11083,                0.04556,                 1.7861,                 7.4916,                 1.3677,             0.00049646,             0.00049646,             0.00049646
                     13,                 1.3206,                 2.6868,                 1.4728,                0.91942,                  0.125,                0.22922,                0.07878,                 1.7661,                 6.6428,                 1.3572,             0.00049579,             0.00049579,             0.00049579
                     14,                 1.2887,                 2.5903,                 1.4201,                0.59604,                0.26365,                0.29927,                0.14231,                 1.4637,                 5.6034,                 1.0428,             0.00049507,             0.00049507,             0.00049507
                     15,                 1.2902,                   2.63,                 1.4617,                0.59082,                0.23125,                0.25521,                  0.119,                 1.7581,                 6.0986,                 1.3067,             0.00049428,             0.00049428,             0.00049428
                     16,                 1.2652,                 2.6052,                 1.4386,                 0.5839,                0.17842,                0.35826,                0.19801,                 1.4656,                 5.4054,                 1.0173,             0.00049344,             0.00049344,             0.00049344
                     17,                 1.2418,                 2.5341,                 1.4063,                0.53363,                  0.325,                 0.3811,                0.20486,                 1.4038,                 6.0422,                 1.0359,             0.00049254,             0.00049254,             0.00049254
                     18,                 1.2435,                 2.5587,                 1.4303,                0.55716,                 0.1625,                0.35381,                0.18443,                 1.6117,                 6.4055,                 1.1907,             0.00049158,             0.00049158,             0.00049158
                     19,                 1.2195,                 2.4848,                 1.4111,                0.39038,                 0.1781,                 0.2832,                0.12697,                  1.564,                 5.9071,                 1.1761,             0.00049057,             0.00049057,             0.00049057
                     20,                 1.2256,                 2.5524,                 1.4125,                0.49622,                 0.3176,                0.36274,                 0.1538,                 1.4826,                 5.8724,                 1.1194,              0.0004895,              0.0004895,              0.0004895
                     21,                 1.2359,                  2.525,                 1.4262,                0.71481,                0.20625,                0.42706,                0.16941,                 1.5314,                 5.7356,                 1.0985,             0.00048838,             0.00048838,             0.00048838
                     22,                 1.2349,                 2.5126,                 1.4138,                0.85508,                0.30264,                0.51441,                0.16777,                 1.4714,                 5.0925,                 1.0343,              0.0004872,              0.0004872,              0.0004872
                     23,                 1.2345,                 2.4837,                 1.3978,                0.48335,                0.30937,                0.38974,                0.15622,                 1.3986,                 5.7932,                  1.056,             0.00048596,             0.00048596,             0.00048596
                     24,                 1.2195,                 2.5182,                 1.4181,                0.91539,                    0.1,                0.17441,                 0.0614,                   1.78,                 7.4743,                 1.3518,             0.00048467,             0.00048467,             0.00048467
                     25,                 1.1638,                 2.3516,                  1.377,                0.61441,                0.37377,                 0.5353,                0.22751,                 1.6083,                 5.7954,                  1.232,             0.00048332,             0.00048332,             0.00048332
                     26,                 1.1613,                 2.4152,                 1.3836,                0.67581,                0.24687,                 0.5243,                0.22097,                 1.4714,                 5.9816,                 1.2011,             0.00048192,             0.00048192,             0.00048192
                     27,                 1.1725,                 2.3886,                  1.378,                0.44482,                0.21875,                0.38543,                0.14604,                 1.7438,                 7.1158,                 1.3113,             0.00048047,             0.00048047,             0.00048047
                     28,                 1.1415,                 2.3407,                 1.3681,                0.67664,                0.22332,                0.45713,                0.21424,                 1.5489,                 6.0691,                 1.2182,             0.00047896,             0.00047896,             0.00047896
                     29,                 1.2112,                 2.4431,                 1.4115,                0.51976,                0.19152,                0.37591,                0.18124,                 1.6722,                 5.8626,                 1.1984,              0.0004774,              0.0004774,              0.0004774
                     30,                 1.1735,                 2.3421,                 1.3734,                0.83337,                 0.2625,                0.59262,                0.25598,                 1.6213,                 5.3834,                 1.1508,             0.00047578,             0.00047578,             0.00047578
                     31,                 1.1852,                 2.3709,                 1.4014,                0.71899,                  0.325,                0.68266,                0.35969,                 1.5165,                   4.99,                 1.0745,             0.00047411,             0.00047411,             0.00047411
                     32,                  1.162,                 2.2778,                 1.3544,                0.54249,                0.46377,                0.67819,                 0.3825,                 1.3858,                 5.2194,                 1.0115,             0.00047239,             0.00047239,             0.00047239
                     33,                 1.1661,                 2.3468,                 1.3551,                0.51508,                0.44685,                0.53294,                 0.2672,                 1.3836,                 5.8404,                 1.0947,             0.00047062,             0.00047062,             0.00047062
                     34,                 1.1452,                  2.345,                 1.3711,                0.72981,                 0.3125,                0.60429,                0.32636,                 1.4417,                 5.6124,                  1.156,              0.0004688,              0.0004688,              0.0004688
                     35,                 1.1574,                 2.3554,                  1.363,                0.65749,                0.35285,                0.61116,                 0.3232,                 1.5323,                 5.1768,                 1.0821,             0.00046693,             0.00046693,             0.00046693
                     36,                 1.1436,                 2.3971,                 1.3589,                0.85309,                 0.1875,                0.33938,                0.19773,                 1.6738,                 7.1227,                 1.2948,               0.000465,               0.000465,               0.000465
