                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8503,                 5.3691,                 2.4887,                0.50884,                  0.075,                0.01624,                0.00645,                 1.9675,                 8.9108,                 1.8742,               0.067214,             0.00033117,             0.00033117
                      1,                 1.7551,                 4.1519,                 2.3254,                0.39452,                  0.125,                0.09813,                 0.0386,                 1.9403,                  7.698,                  1.843,               0.034214,             0.00066442,             0.00066442
                      2,                 1.8158,                 3.9404,                 2.4152,                0.91568,                 0.1125,                0.06755,                0.02227,                 1.9463,                 8.3766,                 1.7738,              0.0012138,             0.00099736,             0.00099736
                      3,                 1.8595,                 4.0239,                 2.4053,                0.91667,                  0.025,                0.07678,                0.01849,                 2.1465,                 9.7446,                 2.2164,             0.00099892,             0.00099892,             0.00099892
                      4,                 1.8304,                 3.8648,                  2.394,                0.29994,                0.30417,                0.11922,                0.04084,                 2.1379,                 7.6862,                 1.8504,             0.00099892,             0.00099892,             0.00099892
                      5,                 1.7898,                 3.8618,                  2.295,                0.82096,                 0.0625,                0.10501,                0.03502,                 1.8183,                 7.7733,                  1.747,             0.00099809,             0.00099809,             0.00099809
                      6,                 1.6858,                 3.7083,                 2.2196,                0.13432,                 0.4375,                0.08949,                 0.0401,                 1.6748,                 7.2206,                  1.612,             0.00099701,             0.00099701,             0.00099701
                      7,                 1.7043,                  3.693,                 2.2148,                0.64904,                0.11312,                0.12808,                0.05201,                 1.5874,                 7.7317,                 1.6143,              0.0009957,              0.0009957,              0.0009957
                      8,                 1.6856,                 3.6888,                 2.2023,                      1,                0.06828,                0.18974,                0.07894,                 1.4262,                  6.185,                 1.3587,             0.00099415,             0.00099415,             0.00099415
                      9,                 1.6478,                 3.5827,                 2.1755,                0.89839,                   0.05,                0.08487,                 0.0384,                 1.4634,                 7.5291,                 1.4474,             0.00099237,             0.00099237,             0.00099237
                     10,                 1.6337,                 3.5964,                 2.1157,                0.77577,                 0.1125,                0.15279,                0.05833,                 1.5968,                 7.4289,                 1.5742,             0.00099035,             0.00099035,             0.00099035
                     11,                 1.6216,                 3.5818,                   2.13,                 0.5459,                0.28158,                0.22051,                0.06592,                 1.4977,                  6.634,                 1.4767,             0.00098809,             0.00098809,             0.00098809
                     12,                 1.5897,                 3.6614,                 2.1199,                0.52468,                0.16667,                0.30553,                0.13818,                 1.4463,                 6.3338,                 1.3754,              0.0009856,              0.0009856,              0.0009856
